movieId, imdbId, tmdId, director, cast
16, 0112641, 524, Martin Scorsese, Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|L.Q. Jones|Dick Smothers
17, 0114388, 4584, Ang Lee, James Fleet|Tom Wilkinson|Harriet Walter|Kate Winslet|Emma Thompson|Gemma Jones|Hugh Grant|Emilie François|Elizabeth Spriggs
18, 0113101, 5, Allison Anders, Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye|Lili Taylor|Alicia Witt|Jennifer Beals|David Proval
19, 0112281, 9273, Steve Oedekerk, Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny Daniels
20, 0113845, 11517, Joseph Ruben, Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Vincent Laresca
21, 0113161, 8012, Barry Sonnenfeld, John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props
22, 0112722, 1710, Jon Amiel, Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.|J.E. Freeman|Will Patton|John Rothman|Shannon O'Hurley
23, 0112401, 9691, Richard Donner, Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff
24, 0114168, 12665, Victor Salva, Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith|Bradford Tatum|Susan Tyrrell|Missy Crider|Ray Wise
25, 0113627, 451, Mike Figgis, Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Regen|Valeria Golino
26, 0114057, 16420, Oliver Parker, Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney|Anna Patrick|Nicholas Farrell|Indra Ové|Michael Sheen
27, 0114011, 9263, Lesli Linka Glatter, Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Devon Sawa
28, 0114117, 17015, Roger Michell, Amanda Root|Ciarán Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson
29, 0112682, 902, Marc Caro, Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin
30, 0115012, 37557, Yimou Zhang, Li Gong|Baotian Li|Xiaoxiao Wang|Xuejian Li|Chun Sun|Biao Fu|Shu Chen|Jiang Liu|Baoying Jiang
31, 0112792, 9909, John N. Smith, Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde|John Neville|Lorraine Toussaint|Renoly Santiago|Wade Dominguez
32, 0114746, 63, Terry Gilliam, Joseph Melito|Bruce Willis|Jon Seda|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence
34, 0112431, 9598, Chris Noonan, Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett
36, 0112818, 687, Tim Robbins, Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell
38, 0113442, 33689, Andy Tennant, Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen|Philip Bosco|Jane Sibbett|Michelle Grisom|Desmond Robertson|Tiny Mills
39, 0112697, 9603, Amy Heckerling, Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya
40, 0112749, 34615, Darrell Roodt, James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang|Dolly Rathebe|Ramolao Makhene|Jack Robinson|Jennifer Steyn
41, 0114279, 31174, Richard Loncraine, Christopher Bowen|Edward Jewesbury|Ian McKellen|Bill Paterson|Annette Bening|Matthew Groom|John Wood|Nigel Hawthorne|Maggie Smith
42, 0112819, 11443, Albert Hughes, Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N'Bushe Wright|Alvaleta Guess|James Pickens Jr.|Jenifer Lewis
43, 0114272, 35196, Michael Hoffman, Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan|Ian McKellen|Hugh Grant|Ian McDiarmid|Mary MacLeod
44, 0113855, 9312, Paul W.S. Anderson, Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson-Sampras|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit
45, 0114681, 577, Gus Van Sant, Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|Kurtwood Smith
46, 0113347, 11861, Jocelyn Moorhouse, Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder|Dermot Mulroney|Ellen Burstyn|Anne Bancroft|Maya Angelou
47, 0114369, 807, David Fincher, Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey
48, 0114148, 10530, Mike Gabriel, Joe Baker|Christian Bale|Irene Bedard|Billy Connolly|James Apaumut Fall|Mel Gibson|Linda Hunt|John Kassir|Judy Kuhn
49, 0114916, 8391, Patricia Rozema, Pascale Bussières|Rachael Crawford|Henry Czerny|David Fox|Don McKellar|Tracy Wright|Clare Coulter|Karyne Steben|Sarah Steben
50, 0114814, 629, Bryan Singer, Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito
52, 0113819, 11448, Woody Allen, Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro|Denise Faye|Marian Filali|Angelo Fraboni|Scott Fowler
53, 0110299, 49133, Gianni Amelio, Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi|Sefer Pema|Idajet Sejdia|Marieta Ljarja|Elina Ndreu
54, 0112499, 26441, Holly Goldberg Sloan, Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Chauncey Leopardi|Patrick Renna|Billy L. Sullivan|Yareli Arizmendi|Bug Hall
55, 0113158, 97406, Ulu Grosbard, Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter|Tom Bower
57, 0113321, 9089, Jodie Foster, Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott|Geraldine Chaplin|Steve Guttenberg|Cynthia Stevenson|Claire Danes
58, 0110877, 11010, Michael Radford, Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Sergio Solli|Carlo Di Maio|Nando Neri|Vincenzo Di Sauro
60, 0113419, 11359, Frank Oz, Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat|Steve Coogan|David Keith|Sakina Jaffrey|Vincent Kartheiser
61, 0116260, 17182, John Schlesinger, Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle|Kiefer Sutherland|Joe Mantegna|Beverly D'Angelo|Darrell Larson|Charlayne Woodard
62, 0113862, 2054, Stephen Herek, Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy|Alicia Witt|Terrence Howard|Damon Whitaker|Jean Louisa Kelly
63, 0116126, 10607, Paris Barclay, Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones|Chris Spencer|Suli McCullough|Darrel Heath|Helen Martin|Isaiah Barnes|Lahmard J. Tate
64, 0118002, 19760, Bill Bennett, Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto|Mike Starr|Jonathan Tucker|Wayne Robson|Michael Badalucco|Lenny Clarke
65, 0115683, 9536, Jason Bloom, William Atherton|Denise Dowse|Dara Tomanovich|Kevin West|Kylie Minogue|Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Teresa Hill
66, 0116839, 11525, Farhad Mann, Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget|Camille Cooper|Patrick LaBrecque|Crystal Celeste Grant|Sean P. Young|Mathew Valencia
68, 0113149, 4482, Josiane Balasko, Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel|Catherine Samie|Catherine Lachens|Katrine Boorman|Telsche Boorman
69, 0113118, 10634, F. Gary Gray, Ice Cube|Chris Tucker|Nia Long|Tommy 'Tiny' Lister|John Witherspoon|Anna Maria Horsford|Regina King|Paula Jai Parker|Faizon Love
70, 0116367, 755, Robert Rodriguez, George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini
71, 0113010, 11859, Andrew Sipes, William Baldwin|Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval|Johann Carlo|Salma Hayek|John Bedford Lloyd|Olek Krupa
72, 0113537, 28387, Noah Baumbach, Josh Hamilton|Samuel Gould|Catherine Kellner|Jonathan Baumbach|John Lehr|Olivia d'Abo|Peter Czernin|Carlos Jacott|Chris Eigeman
73, 0113828, 48750, Claude Lelouch, Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Salomé Lelouch|Annie Girardot|Philippe Léotard|Clémentine Célarié|Philippe Khorsand|Ticky Holgado
74, 0115644, 20927, Michael Goldenberg, Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina|Debra Monk|Mary Alice|Kenneth Cranham|Ally Walker
75, 0115676, 36929, Steve Miner, Rick Moranis|Tom Arnold|Julianne Phillips|Carol Kane|Jeffrey Tambor|Curtis Armstrong|Faith Prince|Tony Pierce|Don Knotts
76, 0114367, 9102, Christian Duguay, Peter Weller|Roy Dupuis|Jennifer Rubin|Andrew Lauer|Charles Edwin Powell|Ron White|Michael Caloz|Liliana Komorowska|Jason Cavalier
77, 0113973, 124626, Susanne Ofteringer, Nico|Tina Aumont|Christian Päffgen|Edith Boulogne|Jackson Browne|John Cale|Danny Fields|Carlos De Maldonado-Bostock|Jonas Mekas
78, 0112744, 27526, Sean Penn, Jack Nicholson|David Morse|Anjelica Huston|Robin Wright|Piper Laurie|Richard Bradford|Priscilla Barnes|David Baerwald|Robbie Robertson
79, 0116731, 9623, Brian Gibson, Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|James Gandolfini|Lindsay Crouse|Anne Heche|Tony Lo Bianco|Michael Constantine|Matt Craven
80, 0112445, 46785, Jafar Panahi, Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Anna Borkowska|Mohammad Shahani|Mohammed Bakhtiar|Aliasghar Smadi|Hamidreza Tahery|Asghar Barzegar
81, 0114660, 400, Gary Fleder, Andy Garcia|Christopher Lloyd|William Forsythe|Bill Nunn|Treat Williams|Jack Warden|Steve Buscemi|Fairuza Balk|Gabrielle Anwar
82, 0112379, 880, Marleen Gorris, Willeke van Ammelrooy|Els Dottermans|Dora van der Groen|Veerle van Overloop|Esther Vriesendorp|Carolien Spoor|Thyrza Ravesteijn|Mil Seghers|Jan Decleir
83, 0114039, 146599, Tim Reid, Al Freeman Jr.|Phylicia Rashad|Leon|Paula Kelly|Salli Richardson-Whitfield|Anna Maria Horsford|Bernie Casey|Isaac Hayes|Ray J
85, 0112365, 8447, Philip Haas, Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall|Annette Badland|Chris Larkin|Anna Massey|Saskia Wickham
86, 0118158, 10534, Ridley Scott, Jeff Bridges|Caroline Goodall|John Savage|Scott Wolf|Jeremy Sisto|Ryan Phillippe|David Lascher|Eric Michael Cole|Jason Marsden
87, 0116151, 17414, Ken Kwapis, Jason Alexander|Faye Dunaway|Eric Lloyd|Rupert Everett|Graham Sack|Paul Reubens|Glenn Shadix|Nathan Davis|Jennifer Bassey
88, 0115697, 13997, Penelope Spheeris, Chris Farley|David Spade|Tim Matheson|Christine Ebersole|Gary Busey|Grant Heslov|Timothy Carhart|Bruce McGill|Michael Patrick Carter
89, 0113972, 2086, John Badham, Johnny Depp|Courtney Chase|Charles S. Dutton|Christopher Walken|Roma Maffia|Marsha Mason|Peter Strauss|Gloria Reuben|Bill Smitrovich
92, 0117002, 9095, Stephen Frears, Julia Roberts|John Malkovich|George Cole|Michael Gambon|Kathy Staff|Glenn Close|Michael Sheen|Bronagh Gallagher|Linda Bassett
93, 0114825, 12158, Wes Craven, Eddie Murphy|Angela Bassett|Allen Payne|Kadeem Hardison|John Witherspoon|Zakes Mokae|Joanna Cassidy|Simbi Kali|Messiri Freeman
94, 0115639, 9283, Ted Demme, Matt Dillon|Noah Emmerich|Annabeth Gish|Lauren Holly|Timothy Hutton|Rosie O'Donnell|Max Perlich|Martha Plimpton|Natalie Portman
95, 0115759, 9208, John Woo, John Travolta|Christian Slater|Samantha Mathis|Delroy Lindo|Bob Gunton|Frank Whaley|Howie Long|Vondie Curtis-Hall|Jack Thompson
96, 0113403, 40154, Kenneth Branagh, Richard Briers|Hetta Charnley|Joan Collins|Nicholas Farrell|Mark Hadfield|Gerard Horan|Celia Imrie|Michael Maloney|Jennifer Saunders
97, 0113247, 406, Mathieu Kassovitz, Vincent Cassel|Hubert Koundé|Saïd Taghmaoui|Abdel Ahmed Ghili|Solo|Joseph Momo|Héloïse Rauth|Rywka Wajsbrot|Olga Abrego
99, 0113283, 63076, Nick Broomfield, Nick Broomfield|Nina Xining Zuo|Madam Alex|Corinne Bohrer|Mike Brambles|Cookie|Elisa Fleiss|Heidi Fleiss|Jason Fleiss
100, 0115907, 11062, Harold Becker, Al Pacino|John Cusack|Bridget Fonda|Danny Aiello|Martin Landau|David Paymer|Anthony Franciosa|Richard Schiff|Lindsay Duncan
101, 0115734, 13685, Wes Anderson, Luke Wilson|Owen Wilson|Ned Dowd|Shea Fowler|Haley Miller|Robert Musgrave|Andrew Wilson|Brian Tenenbaum|Jenni Tooley
102, 0117102, 47475, Nick Castle, Ellen DeGeneres|Bill Pullman|Joan Cusack|Dean Stockwell|Joan Plowright|John Livingston|Robert Goulet|Ellen Cleghorne|Hope Davis
103, 0118040, 2045, John Dahl, Ray Liotta|Linda Fiorentino|Peter Coyote|Christopher McDonald|David Paymer|Duncan Fraser|Caroline Elliott|Colleen Rennison|Kim Cattrall
104, 0116483, 9614, Dennis Dugan, Adam Sandler|Christopher McDonald|Julie Bowen|Frances Bay|Carl Weathers|Allen Covert|Robert Smigel|Bob Barker|Richard Kiel
105, 0112579, 688, Clint Eastwood, Clint Eastwood|Meryl Streep|Annie Corley|Victor Slezak|Jim Haynie|Sarah Zahn|Christopher Kroon|Phyllis Lyons|Debra Monk
106, 0110251, 11907, Doris Dörrie, Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au|Elisabeth Trissenaar|Ingo Naujoks|Joachim Król|Peggy Parnass|Lorose Keller|Anya Hoffmann
107, 0117110, 10874, Brian Henson, Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop|Dave Goelz|Steve Whitmire|Jerry Nelson|Kevin Clash|Bill Barretta
108, 0112646, 89333, Robert Leacock, Christy Turlington|Azzedine Alaïa|Giorgio Armani|Nadja Auermann|Sandra Bernhard|Kate Betts|Brandi|Carla Bruni|Naomi Campbell
110, 0112573, 197, Mel Gibson, James Robinson|Sean Lawlor|Sandy Nelson|James Cosmo|Sean McGinley|Alan Tall|Andrew Weir|Gerda Stevenson|Ralph Riach
111, 0075314, 103, Martin Scorsese, Diahnne Abbott|Frank Adu|Victor Argo|Gino Ardito|Garth Avery|Peter Boyle|Albert Brooks|Harry Cohn|Copper Cunningham
112, 0113326, 33542, Stanley Tong, Jackie Chan|Anita Mui|Françoise Yip|Bill Tung|Marc Akerstream|Garvin Cross|Morgan Lam|Ailen Sit|Man-Ching Chan
113, 0115645, 43566, Barbet Schroeder, Meryl Streep|Liam Neeson|Edward Furlong|Julia Weldon|Alfred Molina|Daniel von Bargen|John Heard|Ann Magnuson|Alison Folland
116, 0112373, 51352, Jon Blair, Kenneth Branagh|Janny Brandes-Brilslijper|Glenn Close|Rose De Liema|Sal De Liema|Buddy Elias|Bloeme Evers|Anne Frank|Margot Frank
117, 0115033, 16934, Benjamin Ross, Tobias Arnold|Ruth Sheen|Roger Lloyd Pack|Hugh O'Conor|Norman Caro|Dorothea Alexander|Charlotte Coleman|Paul Stacey|Samantha Edmonds
118, 0116606, 10324, Eric Schaeffer, Sarah Jessica Parker|Eric Schaeffer|Ben Stiller|Elle Macpherson|James Rebhorn|Robert John Burke|David Thornton|Bill Sage|Dominic Chianese
119, 0114536, 78406, Andrew Davis, Andy Garcia|Alan Arkin|Rachel Ticotin|Joe Pantoliano|Holland Taylor|Ally Walker|David Ogden Stiers|Charles Rocket|Richard Bradford
121, 0106473, 32119, John N. Smith, Henry Czerny|Johnny Morina|Brian Dooley|Philip Dinn|Brian Dodd|Ashley Billard|Jeremy Keefe|Jonathan Lewis|Michael Wade
122, 0103859, 11066, Reginald Hudlin, Eddie Murphy|Robin Givens|Halle Berry|David Alan Grier|Martin Lawrence|Grace Jones|Geoffrey Holder|Eartha Kitt|Chris Rock
123, 0109424, 11104, Kar-Wai Wong, Brigitte Lin|Tony Chiu-Wai Leung|Faye Wong|Takeshi Kaneshiro|Valerie Chow|Jinquan Chen|Lee-Na Kwan|Zhiming Huang|Liang Zhen
125, 0116324, 2074, David O. Russell, Ben Stiller|Patricia Arquette|Téa Leoni|Mary Tyler Moore|George Segal|Alan Alda|Lily Tomlin|Richard Jenkins|Josh Brolin
126, 0110647, 27793, Peter MacDonald, Jason James Richter|Melody Kay|Jack Black|Carole Finn|Ryan Bollman|Freddie Jones|Julie Cox|Moya Brady|Tony Robinson
128, 0110217, 290157, Michel Negroponte, Maggie Cogan|Katina Pendleton
129, 0114131, 110972, Bryan Gordon, Josh Charles|Anne Heche|John Goodman|Christine Lahti|Christine Ebersole|Peter Riegert|Dey Young|Bob Balaban|Wil Wheaton
132, 0113451, 11863, William Friedkin, David Caruso|Linda Fiorentino|Chazz Palminteri|Richard Crenna|Michael Biehn|Donna Murphy|Ken King|Holt McCallany|David Hunt
135, 0116130, 9101, David S. Ward, Kelsey Grammer|Lauren Holly|Rob Schneider|Harry Dean Stanton|Bruce Dern|William H. Macy|Ken Hudson Campbell|Toby Huss|Duane Martin
137, 0113756, 5757, Dirk Shafer, Vivian Paxton|Claudette Sutherland|Michael Ornstein|Cal Bartlett|Mary Stein|Dirk Shafer|Beth Broderick|Cynthia Szigeti|Dennis Bailey
140, 0118055, 9302, Jon Avnet, Robert Redford|Michelle Pfeiffer|Stockard Channing|Joe Mantegna|Kate Nelligan|Glenn Plummer|James Rebhorn|Scott Bryce|Raymond Cruz
141, 0115685, 11000, Mike Nichols, Robin Williams|Gene Hackman|Nathan Lane|Dianne Wiest|Dan Futterman|Calista Flockhart|Hank Azaria|Christine Baranski|Tom McGowan
144, 0112585, 16388, Edward Burns, Shari Albert|Maxine Bahns|Catharine Bolz|Connie Britton|Edward Burns|Peter Johansen|Jennifer Jostyn|Michael McGlone|Elizabeth McKay
145, 0112442, 9737, Michael Bay, Lisa Boyle|Michael Taliferro|Emmanuel Xuereb|Tchéky Karyo|Marc Macaulay|Ralph Gonzalez|Vic Manni|Frank John Hughes|Mike Kirton
146, 0112342, 30765, Christopher Cain, Stephen Lang|Ryan Slater|Yi Ding|Wang Fei|Zhou Jian Zhong|Yao Er Ga|O Mi Jia Can|Cheu Gang|He Yu
147, 0112461, 10474, Scott Kalvert, Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol|James Madio|Patrick McGaw|Mark Wahlberg|Roy Cooper|Vincent Pastore|Bruno Kirby
148, 0112427, 22279, Mike Newell, Alan Rickman|Hugh Grant|Georgina Cates|Alun Armstrong|Peter Firth|Prunella Scales|Rita Tushingham|Alan Cox|Edward Petherbridge
149, 0109093, 30157, Hal Hartley, Isabelle Huppert|Martin Donovan|Elina Löwensohn|Damian Young|Chuck Montgomery|Dave Simonds|Pamela Stewart|Erica Gimpel|Jan Leslie Harding
150, 0112384, 568, Ron Howard, Tom Hanks|Bill Paxton|Kevin Bacon|Gary Sinise|Ed Harris|Kathleen Quinlan|Mary Kate Schellhardt|Emily Ann Lloyd|Miko Hughes
151, 0114287, 11780, Michael Caton-Jones, Liam Neeson|Jessica Lange|John Hurt|Tim Roth|Eric Stoltz|Andrew Keir|Brian Cox|Brian McCardie|Gilbert Martin
152, 0112288, 34996, Abel Ferrara, Lili Taylor|Christopher Walken|Annabella Sciorra|Edie Falco|Paul Calderon|Fredro Starr|Kathryn Erbe|Michael Imperioli|Jamal Simmons
153, 0112462, 414, Joel Schumacher, Val Kilmer|Tommy Lee Jones|Jim Carrey|Nicole Kidman|Chris O'Donnell|Michael Gough|Pat Hingle|Drew Barrymore|Debi Mazar
154, 0061395, 649, Luis Buñuel, Catherine Deneuve|Jean Sorel|Michel Piccoli|Geneviève Page|Pierre Clémenti|Françoise Fabian|Macha Méril|Muni|Maria Latour
155, 0112495, 1873, John Boorman, Patricia Arquette|U Aung Ko|Frances McDormand|Spalding Gray|Tiara Jacquelina|Kuswadinata|Victor Slezak|Jit Murad|Ye Myint
156, 0112541, 5894, Paul Auster, Lou Reed|Michael J. Fox|Roseanne Barr|Mel Gorham|Jim Jarmusch|Lily Tomlin|Jared Harris|Giancarlo Esposito|Malik Yoba
157, 0109370, 1775, Michael Moore, John Candy|Alan Alda|Rhea Perlman|Kevin Pollak|Rip Torn|Kevin J. O'Connor|Bill Nunn|G.D. Spradlin|Steven Wright
158, 0112642, 8839, Brad Silberling, Chauncey Leopardi|Spencer Vrooman|Malachi Pearson|Cathy Moriarty|Eric Idle|Ben Stein|Don Novello|Fred Rogers|Terry Murphy
159, 0112688, 20649, Spike Lee, Harvey Keitel|John Turturro|Delroy Lindo|Mekhi Phifer|Isaiah Washington|Keith David|Peewee Love|Regina Taylor|Thomas Jefferson Byrd
160, 0112715, 10329, Frank Marshall, Laura Linney|Dylan Walsh|Ernie Hudson|Tim Curry|Grant Heslov|Joe Don Baker|Lola Noh|Mary Ellen Trainor|Misty Rosas
161, 0112740, 8963, Tony Scott, Denzel Washington|Gene Hackman|Matt Craven|George Dzundza|Viggo Mortensen|James Gandolfini|Rocky Carroll|Jaime Gomez|Michael Milhoan
162, 0109508, 26564, Terry Zwigoff, Robert Crumb|Aline Kominsky-Crumb|Charles Crumb|Maxon Crumb|Robert Hughes|Martin Muller|Don Donahue|Dana Morgan|Trina Robbins
163, 0112851, 8068, Robert Rodriguez, Antonio Banderas|Salma Hayek|Joaquim de Almeida|Cheech Marin|Steve Buscemi|Carlos Gómez|Quentin Tarantino|Tito Larriva|Angel Aviles
164, 0112857, 8512, Carl Franklin, Denzel Washington|Tom Sizemore|Jennifer Beals|Don Cheadle|Maury Chaykin|Terry Kinney|Mel Winkler|Albert Hall|Lisa Nicole Carson
165, 0112864, 1572, John McTiernan, Bruce Willis|Jeremy Irons|Samuel L. Jackson|Graham Greene|Colleen Camp|Larry Bryggman|Anthony Peck|Nick Wyman|Sam Phillips
166, 0112887, 13552, Gregg Araki, James Duval|Rose McGowan|Johnathon Schaech|Cress Williams|Skinny Puppy|Dustin Nguyen|Margaret Cho|Lauren Tewes|Christopher Knight
168, 0113071, 6520, Jerry Zucker, Sean Connery|Richard Gere|Julia Ormond|Ben Cross|Liam Cunningham|Christopher Villiers|Valentine Pelka|Colin McCormack|Ralph Ineson
169, 0113114, 9073, Dwight H. Little, Jason James Richter|Francis Capra|Mary Kate Schellhardt|August Schellenberg|Michael Madsen|Jayne Atkinson|Mykelti Williamson|Elizabeth Peña|Jon Tenney
170, 0113243, 10428, Iain Softley, Jonny Lee Miller|Angelina Jolie|Jesse Bradford|Matthew Lillard|Laurence Mason|Renoly Santiago|Fisher Stevens|Alberta Watson|Darren Lee
171, 0113464, 17447, Christopher Ashley, Steven Weber|Peter Jacobson|Tom Cayler|David Thornton|Lee Mark Nelson|John Ganun|Michael T. Weiss|Joe Dain|Jeffrey Ross
172, 0113481, 9886, Robert Longo, Keanu Reeves|Dina Meyer|Ice-T|Takeshi Kitano|Denis Akiyama|Dolph Lundgren|Henry Rollins|Barbara Sukowa|Udo Kier
